,date,title,summary
85,2020.02.17.,中부품 부족에 자동차 생산 속도조절… 영세업체들은 ‘폐업 위기’,"중국에서 부품을 수입해 조립하는 중간 부품업체, 완성차 생산량 조절 탓에 재고가 쌓여가는 영세 부품업체... 외신에 따르면 세계 1위 원유 소비국인 중국은 지난달 중순부터 원유 수입량을 하루 평균 300만배럴(20..."
86,2020.02.19.,"글로벌 원유거래 업체들, 中 수출 막힌 재고물량 한국 저장탱크 빌려 비축",동안 생산량을 하루 150만 배럴가량 줄였다. 중국 정유사들은 중국 정부의 도시 폐쇄 등으로 공장을 정상 가동하기 힘든 상태다. 국제에너지기구(IEA)는 최근 코로나19 확산으로 올해 1분기 세계 원유 수요가 전년 같은...
87,2020.02.19.,'큰손' 중국 드러눕자…세계 원자재시장 요동,중국에서 많이 생산되는 텅스텐과 희토류 가격은 급등하는 반면 중국이 대량 수입하던 원유와 철광석... 철강·자동차·전자산업 모두 영향권 중국 내 생산량이 많아 코로나19 확산 후 가격이 뛰고 있는 광물은...
88,2020.02.20.,[식품박물관]②700조 미생물 중 착한 유익균만…'듀오안',발효유 생산량은 56만1000t으로 전체 유가공품 생산량의 23.9%를 차지했다.발효유 소매시장 규모는... 듀오안은 서울우유 전용 목장에서 생산한 국산 원유 72%와 세계특허 듀얼 코팅 한국산 유산균 듀오락을 결합한 진한...
89,2020.02.20.,"'빚더미' 美 셰일기업, 줄도산 임박",미국 에너지정보청(EIA)은 올해 미국의 하루 원유 생산량이 지난해보다 약 8% 더 많은 1320만 배럴을 기록할 것으로 전망했다. 올해 미국산 천연가스 생산량은 전년 대비 2% 증가할 것으로 예상된다.
90,2020.02.11.,보릿고개 넘으니 코로나…조선업 수주 절벽 불안감,"VLCC 운임 하락은 원유 생산량 감소에 기인한다. 석유 생산 업체들이 유가 하락을 우려, 물량 조절에 들어가면서 이를 실어 나를 VLCC 스팟 운임이 같이 내렸다. 실제 영국 국영석유회사 BP는 지난 4일 발표한 보고에서..."
91,2020.02.12.,"[DT현장] 코로나사태, 소·부·장 육성 기회다","재개됐지만, 생산량이 충분치 않은 탓에 국내 완성차 업계의 생산차질은 당분간 이어질 전망이다. 이로... 3%, 글로벌 원유 소비량 비중은 13.5%다. 영국 싱크탱크인 해외개발연구소(ODI)는 사스로 인한 세계경제 손실이..."
92,2020.02.13.,"SK가스, 7년 LPG투자 결실 맺었다",원료 생산량이 증가하면서 SK가스가 함박웃음을 짓고 있다. LPG 사용량 증가를 예측하고 7년 전 해당... 석유화학 기업들은 주로 원유로부터 '나프타'를 만든 뒤에 이를 프로필렌으로 바꿔 플라스틱을 만들었다....
93,2020.02.14.,정제마진 회복 정유株···주가 바닥쳤나,특히 중국에서 코로나19에 대한 우려가 확대되면서 중국 정유업체들이 생산량을 크게 줄인 것이 결정적이었다. 실제로 중국 원유 정제능력의 상당 부분을 차지하는 티폿(Tea-Pot·소형정제시설)의 가동률은 이달 들어...
94,2020.02.17.,산유국 지키려 수명 늘린 동해가스전…석유·가스公 8개월째 공급가 갈등,"동해가스전의 지난해 12월 기준 하루 평균 생산량은 천연가스가 2900만세제곱피트(ft³), 컨덴세이트(초경질원유)가 463배럴이다. 업계에서는 공급가 기준 연간 1500억원대로 추산한다. ◇8개월째 가격 확정 못 한 채로..."
95,2020.02.17.,中부품 부족에 자동차 생산 속도조절… 영세업체들은 ‘폐업 위기’,"중국에서 부품을 수입해 조립하는 중간 부품업체, 완성차 생산량 조절 탓에 재고가 쌓여가는 영세 부품업체... 외신에 따르면 세계 1위 원유 소비국인 중국은 지난달 중순부터 원유 수입량을 하루 평균 300만배럴(20..."
96,2020.02.19.,"글로벌 원유거래 업체들, 中 수출 막힌 재고물량 한국 저장탱크 빌려 비축",동안 생산량을 하루 150만 배럴가량 줄였다. 중국 정유사들은 중국 정부의 도시 폐쇄 등으로 공장을 정상 가동하기 힘든 상태다. 국제에너지기구(IEA)는 최근 코로나19 확산으로 올해 1분기 세계 원유 수요가 전년 같은...
97,2020.02.19.,'큰손' 중국 드러눕자…세계 원자재시장 요동,중국에서 많이 생산되는 텅스텐과 희토류 가격은 급등하는 반면 중국이 대량 수입하던 원유와 철광석... 철강·자동차·전자산업 모두 영향권 중국 내 생산량이 많아 코로나19 확산 후 가격이 뛰고 있는 광물은...
98,2020.02.20.,[식품박물관]②700조 미생물 중 착한 유익균만…'듀오안',발효유 생산량은 56만1000t으로 전체 유가공품 생산량의 23.9%를 차지했다.발효유 소매시장 규모는... 듀오안은 서울우유 전용 목장에서 생산한 국산 원유 72%와 세계특허 듀얼 코팅 한국산 유산균 듀오락을 결합한 진한...
99,2020.02.20.,"'빚더미' 美 셰일기업, 줄도산 임박",미국 에너지정보청(EIA)은 올해 미국의 하루 원유 생산량이 지난해보다 약 8% 더 많은 1320만 배럴을 기록할 것으로 전망했다. 올해 미국산 천연가스 생산량은 전년 대비 2% 증가할 것으로 예상된다.
100,2020.02.11.,보릿고개 넘으니 코로나…조선업 수주 절벽 불안감,"VLCC 운임 하락은 원유 생산량 감소에 기인한다. 석유 생산 업체들이 유가 하락을 우려, 물량 조절에 들어가면서 이를 실어 나를 VLCC 스팟 운임이 같이 내렸다. 실제 영국 국영석유회사 BP는 지난 4일 발표한 보고에서..."
101,2020.02.12.,"[DT현장] 코로나사태, 소·부·장 육성 기회다","재개됐지만, 생산량이 충분치 않은 탓에 국내 완성차 업계의 생산차질은 당분간 이어질 전망이다. 이로... 3%, 글로벌 원유 소비량 비중은 13.5%다. 영국 싱크탱크인 해외개발연구소(ODI)는 사스로 인한 세계경제 손실이..."
102,2020.02.13.,"SK가스, 7년 LPG투자 결실 맺었다",원료 생산량이 증가하면서 SK가스가 함박웃음을 짓고 있다. LPG 사용량 증가를 예측하고 7년 전 해당... 석유화학 기업들은 주로 원유로부터 '나프타'를 만든 뒤에 이를 프로필렌으로 바꿔 플라스틱을 만들었다....
103,2020.02.14.,정제마진 회복 정유株···주가 바닥쳤나,특히 중국에서 코로나19에 대한 우려가 확대되면서 중국 정유업체들이 생산량을 크게 줄인 것이 결정적이었다. 실제로 중국 원유 정제능력의 상당 부분을 차지하는 티폿(Tea-Pot·소형정제시설)의 가동률은 이달 들어...
104,2020.02.17.,산유국 지키려 수명 늘린 동해가스전…석유·가스公 8개월째 공급가 갈등,"동해가스전의 지난해 12월 기준 하루 평균 생산량은 천연가스가 2900만세제곱피트(ft³), 컨덴세이트(초경질원유)가 463배럴이다. 업계에서는 공급가 기준 연간 1500억원대로 추산한다. ◇8개월째 가격 확정 못 한 채로..."
105,2020.02.17.,中부품 부족에 자동차 생산 속도조절… 영세업체들은 ‘폐업 위기’,"중국에서 부품을 수입해 조립하는 중간 부품업체, 완성차 생산량 조절 탓에 재고가 쌓여가는 영세 부품업체... 외신에 따르면 세계 1위 원유 소비국인 중국은 지난달 중순부터 원유 수입량을 하루 평균 300만배럴(20..."
106,2020.02.19.,"글로벌 원유거래 업체들, 中 수출 막힌 재고물량 한국 저장탱크 빌려 비축",동안 생산량을 하루 150만 배럴가량 줄였다. 중국 정유사들은 중국 정부의 도시 폐쇄 등으로 공장을 정상 가동하기 힘든 상태다. 국제에너지기구(IEA)는 최근 코로나19 확산으로 올해 1분기 세계 원유 수요가 전년 같은...
107,2020.02.19.,'큰손' 중국 드러눕자…세계 원자재시장 요동,중국에서 많이 생산되는 텅스텐과 희토류 가격은 급등하는 반면 중국이 대량 수입하던 원유와 철광석... 철강·자동차·전자산업 모두 영향권 중국 내 생산량이 많아 코로나19 확산 후 가격이 뛰고 있는 광물은...
108,2020.02.20.,[식품박물관]②700조 미생물 중 착한 유익균만…'듀오안',발효유 생산량은 56만1000t으로 전체 유가공품 생산량의 23.9%를 차지했다.발효유 소매시장 규모는... 듀오안은 서울우유 전용 목장에서 생산한 국산 원유 72%와 세계특허 듀얼 코팅 한국산 유산균 듀오락을 결합한 진한...
109,2020.02.20.,"'빚더미' 美 셰일기업, 줄도산 임박",미국 에너지정보청(EIA)은 올해 미국의 하루 원유 생산량이 지난해보다 약 8% 더 많은 1320만 배럴을 기록할 것으로 전망했다. 올해 미국산 천연가스 생산량은 전년 대비 2% 증가할 것으로 예상된다.
110,2020.02.11.,보릿고개 넘으니 코로나…조선업 수주 절벽 불안감,"VLCC 운임 하락은 원유 생산량 감소에 기인한다. 석유 생산 업체들이 유가 하락을 우려, 물량 조절에 들어가면서 이를 실어 나를 VLCC 스팟 운임이 같이 내렸다. 실제 영국 국영석유회사 BP는 지난 4일 발표한 보고에서..."
111,2020.02.12.,"[DT현장] 코로나사태, 소·부·장 육성 기회다","재개됐지만, 생산량이 충분치 않은 탓에 국내 완성차 업계의 생산차질은 당분간 이어질 전망이다. 이로... 3%, 글로벌 원유 소비량 비중은 13.5%다. 영국 싱크탱크인 해외개발연구소(ODI)는 사스로 인한 세계경제 손실이..."
112,2020.02.13.,"SK가스, 7년 LPG투자 결실 맺었다",원료 생산량이 증가하면서 SK가스가 함박웃음을 짓고 있다. LPG 사용량 증가를 예측하고 7년 전 해당... 석유화학 기업들은 주로 원유로부터 '나프타'를 만든 뒤에 이를 프로필렌으로 바꿔 플라스틱을 만들었다....
113,2020.02.14.,정제마진 회복 정유株···주가 바닥쳤나,특히 중국에서 코로나19에 대한 우려가 확대되면서 중국 정유업체들이 생산량을 크게 줄인 것이 결정적이었다. 실제로 중국 원유 정제능력의 상당 부분을 차지하는 티폿(Tea-Pot·소형정제시설)의 가동률은 이달 들어...
114,2020.02.17.,산유국 지키려 수명 늘린 동해가스전…석유·가스公 8개월째 공급가 갈등,"동해가스전의 지난해 12월 기준 하루 평균 생산량은 천연가스가 2900만세제곱피트(ft³), 컨덴세이트(초경질원유)가 463배럴이다. 업계에서는 공급가 기준 연간 1500억원대로 추산한다. ◇8개월째 가격 확정 못 한 채로..."
115,2020.02.17.,中부품 부족에 자동차 생산 속도조절… 영세업체들은 ‘폐업 위기’,"중국에서 부품을 수입해 조립하는 중간 부품업체, 완성차 생산량 조절 탓에 재고가 쌓여가는 영세 부품업체... 외신에 따르면 세계 1위 원유 소비국인 중국은 지난달 중순부터 원유 수입량을 하루 평균 300만배럴(20..."
116,2020.02.19.,"글로벌 원유거래 업체들, 中 수출 막힌 재고물량 한국 저장탱크 빌려 비축",동안 생산량을 하루 150만 배럴가량 줄였다. 중국 정유사들은 중국 정부의 도시 폐쇄 등으로 공장을 정상 가동하기 힘든 상태다. 국제에너지기구(IEA)는 최근 코로나19 확산으로 올해 1분기 세계 원유 수요가 전년 같은...
117,2020.02.19.,'큰손' 중국 드러눕자…세계 원자재시장 요동,중국에서 많이 생산되는 텅스텐과 희토류 가격은 급등하는 반면 중국이 대량 수입하던 원유와 철광석... 철강·자동차·전자산업 모두 영향권 중국 내 생산량이 많아 코로나19 확산 후 가격이 뛰고 있는 광물은...
118,2020.02.20.,[식품박물관]②700조 미생물 중 착한 유익균만…'듀오안',발효유 생산량은 56만1000t으로 전체 유가공품 생산량의 23.9%를 차지했다.발효유 소매시장 규모는... 듀오안은 서울우유 전용 목장에서 생산한 국산 원유 72%와 세계특허 듀얼 코팅 한국산 유산균 듀오락을 결합한 진한...
119,2020.02.20.,"'빚더미' 美 셰일기업, 줄도산 임박",미국 에너지정보청(EIA)은 올해 미국의 하루 원유 생산량이 지난해보다 약 8% 더 많은 1320만 배럴을 기록할 것으로 전망했다. 올해 미국산 천연가스 생산량은 전년 대비 2% 증가할 것으로 예상된다.
120,2020.02.11.,보릿고개 넘으니 코로나…조선업 수주 절벽 불안감,"VLCC 운임 하락은 원유 생산량 감소에 기인한다. 석유 생산 업체들이 유가 하락을 우려, 물량 조절에 들어가면서 이를 실어 나를 VLCC 스팟 운임이 같이 내렸다. 실제 영국 국영석유회사 BP는 지난 4일 발표한 보고에서..."
121,2020.02.12.,"[DT현장] 코로나사태, 소·부·장 육성 기회다","재개됐지만, 생산량이 충분치 않은 탓에 국내 완성차 업계의 생산차질은 당분간 이어질 전망이다. 이로... 3%, 글로벌 원유 소비량 비중은 13.5%다. 영국 싱크탱크인 해외개발연구소(ODI)는 사스로 인한 세계경제 손실이..."
